Substance rA rB rX nA nB nX xX
Fe2CoO4 0.78 0.745 1.4 3.0 2.0 -2.0 0.304575
Rb2ZnCl4 1.63 0.74 1.81 1.0 2.0 -1.0 0.263803
Na2ZnCl4 1.24 0.74 1.81 1.0 2.0 -1.0 0.263803
Mn2CoO4 0.96 0.53 1.4 2.0 4.0 -2.0 0.304575
Gd2CrS4 1.107 0.8 1.84 3.0 2.0 -2.0 0.23596
In2CrS4 0.92 0.8 1.84 3.0 2.0 -2.0 0.23596
K2CrO4 1.55 0.44 1.4 1.0 6.0 -2.0 0.304575
La2EuSe4 1.216 1.17 1.98 3.0 2.0 -2.0 0.2240328
Er2ZnS4 1.062 0.74 1.84 3.0 2.0 -2.0 0.23596
Dy2YbS4 1.083 1.02 1.84 3.0 2.0 -2.0 0.23596
Co2GeO4 0.9 0.53 1.4 2.0 4.0 -2.0 0.304575
In2CoS4 0.92 0.745 1.84 3.0 2.0 -2.0 0.23596
Lu2CaO4 1.032 1.0 1.4 3.0 2.0 -2.0 0.304575
Ni2CoS4 0.69 0.53 1.84 2.0 4.0 -2.0 0.23596
Gd2CdTe4 1.107 0.95 2.21 3.0 2.0 -2.0 0.2056992
Gd2CdSe4 1.107 0.95 1.98 3.0 2.0 -2.0 0.2240328
Gd2CdS4 1.107 0.95 1.84 3.0 2.0 -2.0 0.23596
Er2CdSe4 1.062 0.95 1.98 3.0 2.0 -2.0 0.2240328
Er2CdS4 1.062 0.95 1.84 3.0 2.0 -2.0 0.23596
Dy2CdSe4 1.083 0.95 1.98 3.0 2.0 -2.0 0.2240328
Dy2CdS4 1.083 0.95 1.84 3.0 2.0 -2.0 0.23596
Cs2CdI4 1.78 0.95 2.2 1.0 2.0 -1.0 0.2195175999999999
Li2ZnI4 0.92 0.74 2.2 1.0 2.0 -1.0 0.2195175999999999
Ce2CdS4 1.196 0.95 1.84 3.0 2.0 -2.0 0.23596
Ca2SnS4 1.18 0.69 1.84 2.0 4.0 -2.0 0.23596
Cd2GeO4 1.1 0.53 1.4 2.0 4.0 -2.0 0.304575
Cs2BaBr4 1.78 1.35 1.96 1.0 2.0 -1.0 0.2412578
Cs2BaCl4 1.78 1.35 1.81 1.0 2.0 -1.0 0.263803
Rb2MnI4 1.63 0.83 2.2 1.0 2.0 -1.0 0.2195175999999999
Ho2YbS4 1.072 1.02 1.84 3.0 2.0 -2.0 0.23596
Rb2MoSe4 1.63 0.59 1.98 1.0 6.0 -2.0 0.2240328
Mn2SiS4 0.96 0.4 1.84 2.0 4.0 -2.0 0.23596
Tm2MnS4 1.052 0.83 1.84 3.0 2.0 -2.0 0.23596
Yb2MnS4 1.042 0.83 1.84 3.0 2.0 -2.0 0.23596
Sc2MnSe4 0.87 0.83 1.98 3.0 2.0 -2.0 0.2240328
Rb2MoS4 1.63 0.59 1.84 1.0 6.0 -2.0 0.23596
Ho2MgSe4 1.072 0.72 1.98 3.0 2.0 -2.0 0.2240328
Fe2SiO4 0.92 0.4 1.4 2.0 4.0 -2.0 0.304575
Tb2CdS4 1.095 0.95 1.84 3.0 2.0 -2.0 0.23596
Yb2CdSe4 1.042 0.95 1.98 3.0 2.0 -2.0 0.2240328
La2CdTe4 1.216 0.95 2.21 3.0 2.0 -2.0 0.2056992
Lu2CdS4 1.032 0.95 1.84 3.0 2.0 -2.0 0.23596
Sc2MnS4 0.87 0.83 1.84 3.0 2.0 -2.0 0.23596
Mn2VO4 0.96 0.58 1.4 2.0 4.0 -2.0 0.304575
Lu2MgSe4 1.032 0.72 1.98 3.0 2.0 -2.0 0.2240328
Mn2NiO4 0.96 0.48 1.4 2.0 4.0 -2.0 0.304575
Ni2SnO4 0.69 0.69 1.4 2.0 4.0 -2.0 0.304575
Ni2SiO4 0.69 0.4 1.4 2.0 4.0 -2.0 0.304575
Nd2ZnS4 1.163 0.74 1.84 3.0 2.0 -2.0 0.23596
Sc2FeS4 0.87 0.78 1.84 3.0 2.0 -2.0 0.23596
Fe2SiS4 0.92 0.4 1.84 2.0 4.0 -2.0 0.23596
Fe2SnS4 0.92 0.69 1.84 2.0 4.0 -2.0 0.23596
Yb2FeS4 1.14 0.645 1.84 2.5 3.0 -2.0 0.23596
Gd2MnS4 1.107 0.83 1.84 3.0 2.0 -2.0 0.23596
Gd2ZnS4 1.107 0.74 1.84 3.0 2.0 -2.0 0.23596
Mg2GeO4 0.89 0.53 1.4 2.0 4.0 -2.0 0.304575
La2SrSe4 1.216 1.18 1.98 3.0 2.0 -2.0 0.2240328
Lu2MgS4 1.032 0.72 1.84 3.0 2.0 -2.0 0.23596
K2PbCl4 1.55 1.19 1.81 1.0 2.0 -1.0 0.263803
K2EuCl4 1.55 1.17 1.81 1.0 2.0 -1.0 0.263803
K2CuCl4 1.55 0.73 1.81 1.0 2.0 -1.0 0.263803
Cd2SnO4 1.1 0.69 1.4 2.0 4.0 -2.0 0.304575
K2SrCl4 1.55 1.18 1.81 1.0 2.0 -1.0 0.263803
