Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX,fold_4
SrEuVO4,rp,1,1,Sr,Eu,V,V,O,O,1.3050000000000002,0.58,1.4,0.304575,test
SrTbCrO4,rp,1,1,Sr,Tb,Cr,Cr,O,O,1.2025,0.615,1.4,0.304575,test
EuNdAlO4,rp,1,1,Eu,Nd,Al,Al,O,O,1.2315,0.535,1.4,0.304575,test
EuLaAlO4,rp,1,1,Eu,La,Al,Al,O,O,1.258,0.535,1.4,0.304575,test
LaNdCuO4,rp,1,1,La,Nd,Cu,Cu,O,O,1.1895,0.73,1.4,0.304575,test
EuGdAlO4,rp,1,1,Eu,Gd,Al,Al,O,O,1.2035,0.535,1.4,0.304575,test
SrCeAlO4,rp,1,1,Sr,Ce,Al,Al,O,O,1.253,0.535,1.4,0.304575,test
Sr2MnO4,rp,1,1,Sr,Sr,Mn,Mn,O,O,1.31,0.53,1.4,0.304575,test
Rb2PuO4,rp,1,1,Rb,Rb,Pu,Pu,O,O,1.63,0.71,1.4,0.304575,test
La2NiO4,rp,1,1,La,La,Ni,Ni,O,O,1.216,0.69,1.4,0.304575,test
SrPrScO4,rp,1,1,Sr,Pr,Sc,Sc,O,O,1.2445,0.745,1.4,0.304575,test
SrNdVO4,rp,1,1,Sr,Nd,V,V,O,O,1.2365,0.64,1.4,0.304575,test
KRbMnF4,rp,1,1,K,Rb,Mn,Mn,F,F,1.59,0.83,1.33,0.344443,test
La2CoO4,rp,1,1,La,La,Co,Co,O,O,1.216,0.745,1.4,0.304575,test
CaGdAlO4,rp,1,1,Ca,Gd,Al,Al,O,O,1.1435,0.535,1.4,0.304575,test
CaEuAlO4,rp,1,1,Ca,Eu,Al,Al,O,O,1.15,0.535,1.4,0.304575,test
SrGdAlO4,rp,1,1,Sr,Gd,Al,Al,O,O,1.2085,0.535,1.4,0.304575,test
CeEuAlO4,rp,1,1,Ce,Eu,Al,Al,O,O,1.248,0.535,1.4,0.304575,test
Sr2VO4,rp,1,1,Sr,Sr,V,V,O,O,1.31,0.58,1.4,0.304575,test
Gd2NiO4,rp,1,1,Gd,Gd,Ni,Ni,O,O,1.107,0.69,1.4,0.304575,test
SrLaGaO4,rp,1,1,Sr,La,Ga,Ga,O,O,1.263,0.62,1.4,0.304575,test
SrNdGaO4,rp,1,1,Sr,Nd,Ga,Ga,O,O,1.2365,0.62,1.4,0.304575,test
NaDyTiO4,rp,1,1,Na,Dy,Ti,Ti,O,O,1.1615,0.605,1.4,0.304575,test
KLaTiO4,rp,1,1,K,La,Ti,Ti,O,O,1.383,0.605,1.4,0.304575,test
SrNdCoO4,rp,1,1,Sr,Nd,Co,Co,O,O,1.2365,0.61,1.4,0.304575,test
SrDyCrO4,rp,1,1,Sr,Dy,Cr,Cr,O,O,1.1965,0.615,1.4,0.304575,test
SrCeVO4,rp,1,1,Sr,Ce,V,V,O,O,1.253,0.64,1.4,0.304575,test
BaLaScO4,rp,1,1,Ba,La,Sc,Sc,O,O,1.343,0.745,1.4,0.304575,test
BaLaMnO4,rp,1,1,Ba,La,Mn,Mn,O,O,1.343,0.645,1.4,0.304575,test
CaNdAlO4,rp,1,1,Ca,Nd,Al,Al,O,O,1.1715,0.535,1.4,0.304575,test
CaSmAlO4,rp,1,1,Ca,Sm,Al,Al,O,O,1.156,0.535,1.4,0.304575,test
SrPrGaO4,rp,1,1,Sr,Pr,Ga,Ga,O,O,1.2445,0.62,1.4,0.304575,test
SrPrNiO4,rp,1,1,Sr,Pr,Ni,Ni,O,O,1.2445,0.6,1.4,0.304575,test
SrLaCrO4,rp,1,1,Sr,La,Cr,Cr,O,O,1.263,0.615,1.4,0.304575,test
NaLuTiO4,rp,1,1,Na,Lu,Ti,Ti,O,O,1.136,0.605,1.4,0.304575,test
SrLaMnO4,rp,1,1,Sr,La,Mn,Mn,O,O,1.263,0.645,1.4,0.304575,test
Ca2MnO4,rp,1,1,Ca,Ca,Mn,Mn,O,O,1.18,0.53,1.4,0.304575,test
Cs2PuO4,rp,1,1,Cs,Cs,Pu,Pu,O,O,1.78,0.71,1.4,0.304575,test
Tl2NiF4,rp,1,1,Tl,Tl,Ni,Ni,F,F,1.59,0.69,1.33,0.344443,test
Sr2FeO4,rp,1,1,Sr,Sr,Fe,Fe,O,O,1.31,0.585,1.4,0.304575,test
EuLaCuO4,rp,1,1,Eu,La,Cu,Cu,O,O,1.168,0.73,1.4,0.304575,test
DySmCuO4,rp,1,1,Dy,Sm,Cu,Cu,O,O,1.1075,0.73,1.4,0.304575,test
GdLaCuO4,rp,1,1,Gd,La,Cu,Cu,O,O,1.1615,0.73,1.4,0.304575,test
SmTbCuO4,rp,1,1,Sm,Tb,Cu,Cu,O,O,1.1135000000000002,0.73,1.4,0.304575,test
CaYCrO4,rp,1,1,Ca,Y,Cr,Cr,O,O,1.1275,0.615,1.4,0.304575,test
CaCeMnO4,rp,1,1,Ca,Ce,Mn,Mn,O,O,1.075,0.83,1.4,0.304575,test
CaPrAlO4,rp,1,1,Ca,Pr,Al,Al,O,O,1.1795,0.535,1.4,0.304575,test
DyEuCuO4,rp,1,1,Dy,Eu,Cu,Cu,O,O,1.1015,0.73,1.4,0.304575,test
DyNdCuO4,rp,1,1,Dy,Nd,Cu,Cu,O,O,1.123,0.73,1.4,0.304575,test
DyPrCuO4,rp,1,1,Dy,Pr,Cu,Cu,O,O,1.131,0.73,1.4,0.304575,test
Yb2MgS4,spinel,0,1,Yb,Yb,Mg,Mg,S,S,1.042,0.72,1.84,0.23596,test
Lu2ZnS4,olivine,0,1,Lu,Lu,Zn,Zn,S,S,1.032,0.74,1.84,0.23596,test
Sc2MgO4,cav2o4,0,1,Sc,Sc,Mg,Mg,O,O,0.87,0.72,1.4,0.304575,test
Mg2SnO4,spinel,0,1,Mg,Mg,Sn,Sn,O,O,0.89,0.69,1.4,0.304575,test
Mg2TiO4,spinel,0,1,Mg,Mg,Ti,Ti,O,O,0.89,0.605,1.4,0.304575,test
Tm2MgS4,th3p4,0,1,Tm,Tm,Mg,Mg,S,S,1.052,0.72,1.84,0.23596,test
Mn2ScO4,spinel,0,1,Mn,Mn,Sc,Sc,O,O,0.96,0.745,1.4,0.304575,test
NaBaAsO4,k2so4,0,1,Na,Ba,As,As,O,O,1.355,0.46,1.4,0.304575,test
Mg2TcO4,spinel,0,1,Mg,Mg,Tc,Tc,O,O,0.89,0.645,1.4,0.304575,test
Sc2MgS4,spinel,0,1,Sc,Sc,Mg,Mg,S,S,0.87,0.72,1.84,0.23596,test
NaBaVO4,k2so4,0,1,Na,Ba,V,V,O,O,1.355,0.54,1.4,0.304575,test
Ni2FeS4,spinel,0,1,Ni,Ni,Fe,Fe,S,S,0.69,0.645,1.84,0.23596,test
KCaAsO4,k2so4,0,1,K,Ca,As,As,O,O,1.365,0.46,1.4,0.304575,test
Cs2MoS4,k2so4,0,1,Cs,Cs,Mo,Mo,S,S,1.78,0.59,1.84,0.23596,test
Lu2MnSe4,spinel,0,1,Lu,Lu,Mn,Mn,Se,Se,1.032,0.83,1.98,0.2240328,test
NaSrAsO4,k2so4,0,1,Na,Sr,As,As,O,O,1.275,0.46,1.4,0.304575,test
Mn2SiO4,olivine,0,1,Mn,Mn,Si,Si,O,O,0.96,0.4,1.4,0.304575,test
