Substance,Label,n,rA,rB,rX,nA,nB,nX,xX,fold_5
Cs2MnBr4,0.0,1.0,1.78,0.83,1.96,1.0,2.0,-1.0,0.2412578,train
Na2MoO4,0.0,1.0,1.24,0.59,1.4,1.0,6.0,-2.0,0.304575,train
LuNaSiO4,0.0,1.0,1.136,0.4,1.4,2.0,4.0,-2.0,0.304575,train
LiTmSiO4,0.0,1.0,0.986,0.4,1.4,2.0,4.0,-2.0,0.304575,train
LiScSiO4,0.0,1.0,0.895,0.4,1.4,2.0,4.0,-2.0,0.304575,train
LiInSiO4,0.0,1.0,0.92,0.4,1.4,2.0,4.0,-2.0,0.304575,train
MgMnSiO4,0.0,1.0,0.925,0.4,1.4,2.0,4.0,-2.0,0.304575,train
NaTbGeO4,0.0,1.0,1.1675,0.53,1.4,2.0,4.0,-2.0,0.304575,train
MnZnGeO4,0.0,1.0,0.93,0.53,1.4,2.0,4.0,-2.0,0.304575,train
MgMnGeO4,0.0,1.0,0.925,0.53,1.4,2.0,4.0,-2.0,0.304575,train
LuNaGeO4,0.0,1.0,1.136,0.53,1.4,2.0,4.0,-2.0,0.304575,train
LiYGeO4,0.0,1.0,0.9975,0.53,1.4,2.0,4.0,-2.0,0.304575,train
NaTmGeO4,0.0,1.0,1.146,0.53,1.4,2.0,4.0,-2.0,0.304575,train
NaSrVO4,0.0,1.0,1.275,0.54,1.4,1.5,5.0,-2.0,0.304575,train
Cs2WS4,0.0,1.0,1.78,0.6,1.84,1.0,6.0,-2.0,0.23596,train
Ce2CdSe4,0.0,1.0,1.196,0.95,1.98,3.0,2.0,-2.0,0.2240328,train
Fe2CuO4,0.0,1.0,0.78,0.73,1.4,3.0,2.0,-2.0,0.304575,train
EuPrCuO4,0.0,1.0,1.1495000000000002,0.73,1.4,3.0,2.0,-2.0,0.304575,train
SmPrCuO4,0.0,1.0,1.1555,0.73,1.4,3.0,2.0,-2.0,0.304575,train
SmGdCuO4,0.0,1.0,1.1195,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Eu2CuO4,0.0,1.0,1.12,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Ca2SiS4,0.0,1.0,1.18,0.4,1.84,2.0,4.0,-2.0,0.23596,train
Yb2CaS4,0.0,1.0,1.042,1.0,1.84,3.0,2.0,-2.0,0.23596,train
Tl2CoBr4,0.0,1.0,1.59,0.745,1.96,1.0,2.0,-1.0,0.2412578,train
Cs2CoBr4,0.0,1.0,1.78,0.745,1.96,1.0,2.0,-1.0,0.2412578,train
Cs2CdBr4,0.0,1.0,1.78,0.95,1.96,1.0,2.0,-1.0,0.2412578,train
Bi2YbTe4,0.0,1.0,1.17,1.02,2.21,3.0,2.0,-2.0,0.2056992,train
Rh2BeO4,0.0,1.0,0.665,0.45,1.4,3.0,2.0,-2.0,0.304575,train
Tl2BeF4,0.0,1.0,1.59,0.45,1.33,1.0,2.0,-1.0,0.344443,train
EuNdCuO4,0.0,1.0,1.1415000000000002,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Ho2CaS4,0.0,1.0,1.072,1.0,1.84,3.0,2.0,-2.0,0.23596,train
EuGdCuO4,0.0,1.0,1.1135000000000002,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Nd2CaS4,0.0,1.0,1.163,1.0,1.84,3.0,2.0,-2.0,0.23596,train
K2BeF4,0.0,1.0,1.55,0.45,1.33,1.0,2.0,-1.0,0.344443,train
Cs2BeF4,0.0,1.0,1.78,0.45,1.33,1.0,2.0,-1.0,0.344443,train
Cr2BeO4,0.0,1.0,0.615,0.45,1.4,3.0,2.0,-2.0,0.304575,train
Ho2CuO4,0.0,1.0,1.072,0.73,1.4,3.0,2.0,-2.0,0.304575,train
In2CuO4,0.0,1.0,0.92,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Sm2CuO4,0.0,1.0,1.132,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Y2CuO4,0.0,1.0,1.075,0.73,1.4,3.0,2.0,-2.0,0.304575,train
Gd2PdO4,0.0,1.0,1.107,0.86,1.4,3.0,2.0,-2.0,0.304575,train
Gd2CuO4,0.0,1.0,1.107,0.73,1.4,3.0,2.0,-2.0,0.304575,train
La2PdO4,0.0,1.0,1.216,0.86,1.4,3.0,2.0,-2.0,0.304575,train
Nd2PdO4,0.0,1.0,1.163,0.86,1.4,3.0,2.0,-2.0,0.304575,train
