Substance,f.e,n,rA,rB,rX,xX,fold_3
Rb2MgF4,-0.4727227950000028,1.0,1.63,0.72,1.33,0.344443,train
Tl2CoF4,-0.1708702299999984,1.0,1.59,0.745,1.33,0.344443,train
K2NiF4,-0.5091681800000014,1.0,1.55,0.69,1.33,0.344443,train
K2MnF4,-0.2260201649999942,1.0,1.55,0.83,1.33,0.344443,train
K2CoF4,-0.3295858050000007,1.0,1.55,0.745,1.33,0.344443,train
Rb2CoF4,-0.4177141850000012,1.0,1.63,0.745,1.33,0.344443,train
NaPrTiO4,-0.9538977162500012,1.0,1.2095,0.605,1.4,0.304575,train
Rb2MnCl2I2,-0.1132333799999969,1.0,1.63,0.83,2.005,0.2416603,train
Ba2RuO4,-1.1337961399999976,1.0,1.47,0.62,1.4,0.304575,train
Cs2CrO4,-0.8634827650000005,1.0,1.78,0.44,1.4,0.304575,train
Co2SiO4,3.208877550000004,1.0,0.9,0.4,1.4,0.304575,train
Co2SnO4,3.8034493150000017,1.0,0.9,0.69,1.4,0.304575,train
Li2BeCl4,2.144201005000001,1.0,0.92,0.45,1.81,0.263803,train
Ba2CrO4,-1.2360707649999974,1.0,1.47,0.55,1.4,0.304575,train
Ba2TiS4,-0.383019940000004,1.0,1.47,0.605,1.84,0.23596,train
Ba2SiO4,-0.378614455000001,1.0,1.47,0.4,1.4,0.304575,train
Ba2GeS4,0.3738501366666664,1.0,1.47,0.53,1.84,0.23596,train
Ba2GeO4,-1.6251235566666686,1.0,1.47,0.53,1.4,0.304575,train
K2BeCl4,0.9720253549999996,1.0,1.55,0.45,1.81,0.263803,train
Ca2GeS4,2.343660696666665,1.0,1.18,0.53,1.84,0.23596,train
Ba2TiO4,-1.7794421199999988,1.0,1.47,0.605,1.4,0.304575,train
Rb2ZnBr4,0.1319494518749984,1.0,1.63,0.74,1.96,0.2412578,train
Rb2CoCl4,0.3537959499999985,1.0,1.63,0.745,1.81,0.263803,train
K2BaCl4,1.4254488500000022,1.0,1.55,1.35,1.81,0.263803,train
Rb2BaBr4,1.0137543449999988,1.0,1.63,1.35,1.96,0.2412578,train
La2CdS4,2.2701355824999983,1.0,1.216,0.95,1.84,0.23596,train
Co2TiO4,2.9207693249999984,1.0,0.9,0.605,1.4,0.304575,train
Co2TcO4,3.6760069725000015,1.0,0.9,0.645,1.4,0.304575,train
Cs2HgCl4,-0.2359187899999977,1.0,1.78,1.02,1.81,0.263803,train
Cs2CuBr4,-0.0715078099999999,1.0,1.78,0.73,1.96,0.2412578,train
Rb2BaCl4,1.2088021300000005,1.0,1.63,1.35,1.81,0.263803,train
Sm2CdS4,2.6018300975000006,1.0,1.132,0.95,1.84,0.23596,train
Cs2WSe4,-1.6344978999999995,1.0,1.78,0.6,1.98,0.2240328,train
Sr2SiO4,-0.6976754649999961,1.0,1.31,0.4,1.4,0.304575,train
Zn2GeO4,2.803661493333337,1.0,0.9,0.53,1.4,0.304575,train
Lu2FeS4,2.6784124249999923,1.0,1.032,0.78,1.84,0.23596,train
In2FeS4,3.00499883375,1.0,0.92,0.78,1.84,0.23596,train
Fe2GeSe4,4.228627464999999,1.0,0.92,0.53,1.98,0.2240328,train
Fe2TiO4,2.191613900000004,1.0,0.92,0.605,1.4,0.304575,train
Mn2GeS4,3.969229746666665,1.0,0.96,0.53,1.84,0.23596,train
Ni2GeO4,4.629670358333335,1.0,0.69,0.53,1.4,0.304575,train
La2PbSe4,3.7908249725,1.0,1.216,1.19,1.98,0.2240328,train
La2PbS4,3.9450563824999954,1.0,1.216,1.19,1.84,0.23596,train
Sr2NiO2Cl2,-0.7079581374999968,1.0,1.31,0.69,1.605,0.284189,train
K2WSe4,-1.3322017000000024,1.0,1.55,0.6,1.98,0.2240328,train
K2MoS4,-0.4140656300000032,1.0,1.55,0.59,1.84,0.23596,train
In2ZnS4,3.6664531880357134,1.0,0.92,0.74,1.84,0.23596,train
In2MnSe4,2.275636350000001,1.0,0.92,0.83,1.98,0.2240328,train
In2MnS4,2.55346154375,1.0,0.92,0.83,1.84,0.23596,train
In2MnO4,1.872990221250003,1.0,0.92,0.83,1.4,0.304575,train
In2MgO4,3.2315081312499974,1.0,0.92,0.72,1.4,0.304575,train
Li2MoO4,0.3524051212500012,1.0,0.92,0.59,1.4,0.304575,train
