Substance,Label,rp,f.e,Compound,Type,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train
EuGdAlO4,1.0,1.8152724910439364,-0.3664590924999977,EuGdAlO4,RP,1.0,1.83,1.815272491,1.0,Eu,Gd,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.2035,0.535,1.4,2.5,3.0,-2.0,0.1921675,0.150078,0.304575,5.9100905,5.9857684,13.618054,9.5,3.0,6.0,Handbook,True
EuLaAlO4,1.0,1.7985211170453264,-0.4973257931250003,EuLaAlO4,RP,1.0,1.83,1.798521117,1.0,Eu,La,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.258,0.535,1.4,2.5,3.0,-2.0,0.1765385,0.150078,0.304575,5.6236425,5.9857684,13.618054,6.0,3.0,6.0,Handbook,True
EuNdAlO4,1.0,1.80638859353924,-0.4447730831250034,EuNdAlO4,RP,1.0,1.83,1.806388594,1.0,Eu,Nd,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.2315,0.535,1.4,2.5,3.0,-2.0,0.183237,0.150078,0.304575,5.5976925,5.9857684,13.618054,7.5,3.0,6.0,Handbook,True
SrTbCrO4,1.0,1.7703471404179056,-0.1614070281250086,SrTbCrO4,RP,1.0,1.83,1.77034714,1.0,Sr,Tb,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.2025,0.615,1.4,2.5,3.0,-2.0,0.1586856,0.1313053,0.304575,5.7793336,6.76651,13.618054,6.5,6.0,6.0,Handbook,True
SrEuVO4,1.0,1.7511695298621943,-1.498606480000003,SrEuVO4,RP,1.0,1.83,1.75116953,1.0,Sr,Eu,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.305,0.58,1.4,2.0,4.0,-2.0,0.1542216,0.1273344,0.304575,5.6826261,6.746187,13.618054,5.5,5.0,6.0,Handbook,True
K2NpO4,1.0,1.610208611687906,-3.53853796,K2NpO4,RP,1.0,1.83,1.610208612,1.0,K,K,Np,Np,O,O,9.0,9.0,6.0,6.0,6.0,1.55,0.72,1.4,1.0,6.0,-2.0,0.0981896,0.14265,0.304575,4.34066354,6.2655,13.618054,1.0,7.0,6.0,Handbook,True
Pr2CuO4,1.0,1.7682195163640717,0.605921519999999,Pr2CuO4,RP,1.0,1.83,1.768219516,1.0,Pr,Pr,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.179,0.73,1.4,3.0,2.0,-2.0,0.17208,0.1511716,0.304575,5.473,7.72638,13.618054,5.0,11.0,6.0,Handbook,True
K2PuO4,1.0,1.6140420959353432,-3.561435269999997,K2PuO4,RP,1.0,1.83,1.614042096,1.0,K,K,Pu,Pu,O,O,9.0,9.0,6.0,6.0,6.0,1.55,0.71,1.4,1.0,6.0,-2.0,0.0981896,0.16137,0.304575,4.34066354,6.0258,13.618054,1.0,8.0,6.0,Handbook,True
Nd2CuO4,1.0,1.7788405199137485,0.4898627562500017,Nd2CuO4,RP,1.0,1.83,1.77884052,1.0,Nd,Nd,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.163,0.73,1.4,3.0,2.0,-2.0,0.176539,0.1511716,0.304575,5.525,7.72638,13.618054,6.0,11.0,6.0,Handbook,True
CaHoAlO4,1.0,1.8434111250730905,-0.1199629268750008,CaHoAlO4,RP,1.0,1.83,1.843411125,0.0,Ca,Ho,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.126,0.535,1.4,2.5,3.0,-2.0,0.16160345,0.150078,0.304575,6.0673276,5.9857684,13.618054,7.5,3.0,6.0,Handbook,True
SrEuCrO4,1.0,1.76499282438539,-1.0653709656250037,SrEuCrO4,RP,1.0,1.83,1.764992824,1.0,Sr,Eu,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.215,0.615,1.4,2.5,3.0,-2.0,0.1542216,0.1313053,0.304575,5.6826261,6.76651,13.618054,5.5,6.0,6.0,Handbook,True
SrSmAlO4,1.0,1.8096485043555184,-0.3640061737499955,SrSmAlO4,RP,1.0,1.83,1.809648504,1.0,Sr,Sm,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.221,0.535,1.4,2.5,3.0,-2.0,0.1519881,0.150078,0.304575,5.6692886,5.9857684,13.618054,5.0,3.0,6.0,Handbook,True
