Substance,Label,rp,f.e,Compound,Type,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train
KLaTiO4,1.0,1.7125667576251735,-1.289652473124999,KLaTiO4,RP,1.0,1.83,1.712566758,1.0,K,La,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.383,0.605,1.4,2.0,4.0,-2.0,0.1306658,0.1233637,0.304575,4.95878177,6.82812,13.618054,2.0,4.0,6.0,Handbook,True
SrGdCoO4,1.0,1.769733396368428,-0.7318636099999978,SrGdCoO4,RP,1.0,1.83,1.769733396,1.0,Sr,Gd,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.2085,0.61,1.4,2.5,3.0,-2.0,0.1564541,0.1432363,0.304575,5.9223316,7.88101,13.618054,6.0,9.0,6.0,Handbook,True
SrNdCoO4,1.0,1.7583252518564552,-0.7848141406249951,SrNdCoO4,RP,1.0,1.83,1.758325252,1.0,Sr,Nd,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.2365,0.61,1.4,2.5,3.0,-2.0,0.1475236,0.1432363,0.304575,5.6099336,7.88101,13.618054,4.0,9.0,6.0,Handbook,True
SrSmCoO4,1.0,1.7645434610054025,-0.8737254212500005,SrSmCoO4,RP,1.0,1.83,1.764543461,1.0,Sr,Sm,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.221,0.61,1.4,2.5,3.0,-2.0,0.1519881,0.1432363,0.304575,5.6692886,7.88101,13.618054,5.0,9.0,6.0,Handbook,True
SrDyCrO4,1.0,1.77297702175976,-0.0318331762499966,SrDyCrO4,RP,1.0,1.83,1.772977022,1.0,Sr,Dy,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.1965,0.615,1.4,2.5,3.0,-2.0,0.1609191,0.1313053,0.304575,5.8169586,6.76651,13.618054,7.0,6.0,6.0,Handbook,True
SrCeVO4,1.0,1.739910169971071,-0.5331168056249957,SrCeVO4,RP,1.0,1.83,1.73991017,1.0,Sr,Ce,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.253,0.64,1.4,2.5,3.0,-2.0,0.1430591,0.1273344,0.304575,5.6167336,6.746187,13.618054,3.0,5.0,6.0,Handbook,True
BaLaScO4,1.0,1.6785605992285082,-0.0948108249999997,BaLaScO4,RP,1.0,1.83,1.678560599,1.0,Ba,La,Sc,Sc,O,O,9.0,9.0,6.0,6.0,6.0,1.343,0.745,1.4,2.5,3.0,-2.0,0.1609103,0.1193833,0.304575,5.394282,6.56149,13.618054,2.5,3.0,6.0,Handbook,True
BaLaMnO4,1.0,1.7039335634771655,-0.5846533731249934,BaLaMnO4,RP,1.0,1.83,1.703933563,1.0,Ba,La,Mn,Mn,O,O,9.0,9.0,6.0,6.0,6.0,1.343,0.645,1.4,2.5,3.0,-2.0,0.1609103,0.1352844,0.304575,5.394282,7.434018,13.618054,2.5,7.0,6.0,Handbook,True
BaLaFeO4,1.0,1.7039335634771655,-0.654897580624997,BaLaFeO4,RP,1.0,1.83,1.703933563,1.0,Ba,La,Fe,Fe,O,O,9.0,9.0,6.0,6.0,6.0,1.343,0.645,1.4,2.5,3.0,-2.0,0.1609103,0.1392532,0.304575,5.394282,7.9024678,13.618054,2.5,8.0,6.0,Handbook,True
CaLaAlO4,1.0,1.817091132217526,-0.389251053124994,CaLaAlO4,RP,1.0,1.83,1.817091132,1.0,Ca,La,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.198,0.535,1.4,2.5,3.0,-2.0,0.13927695,0.150078,0.304575,5.8450276,5.9857684,13.618054,2.5,3.0,6.0,Handbook,True
CaNdAlO4,1.0,1.8262156921700747,-0.1390941431249963,CaNdAlO4,RP,1.0,1.83,1.826215692,1.0,Ca,Nd,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.1715,0.535,1.4,2.5,3.0,-2.0,0.14597545,0.150078,0.304575,5.8190776,5.9857684,13.618054,4.0,3.0,6.0,Handbook,True
CaSmAlO4,1.0,1.8318459553750035,-0.2523388137499971,CaSmAlO4,RP,1.0,1.83,1.831845955,0.0,Ca,Sm,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.156,0.535,1.4,2.5,3.0,-2.0,0.15043995,0.150078,0.304575,5.8784326,5.9857684,13.618054,5.0,3.0,6.0,Handbook,True
BaSrPbO4,1.0,1.6549094248463376,-0.8035412400000013,BaSrPbO4,RP,1.0,1.83,1.654909425,1.0,Ba,Sr,Pb,Pb,O,O,9.0,9.0,6.0,6.0,6.0,1.39,0.775,1.4,2.0,4.0,-2.0,0.1385934,0.177911,0.304575,5.4532656,7.4166796,13.618054,2.0,4.0,6.0,Handbook,True
NaLaTiO4,1.0,1.763924772113523,-1.2390752781249963,NaLaTiO4,RP,1.0,1.83,1.763924772,1.0,Na,La,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.228,0.605,1.4,2.0,4.0,-2.0,0.128178,0.1233637,0.304575,5.35798835,6.82812,13.618054,2.0,4.0,6.0,Handbook,True
SrPrGaO4,1.0,1.750881081293102,-0.1693192387500044,SrPrGaO4,RP,1.0,1.83,1.750881081,1.0,Sr,Pr,Ga,Ga,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.62,1.4,2.5,3.0,-2.0,0.1452941,0.1723773,0.304575,5.5839336,5.9993018,13.618054,3.5,3.0,6.0,Handbook,True
LaNdCuO4,1.0,1.7614811921152933,0.5855813362500015,LaNdCuO4,RP,1.0,1.83,1.761481192,1.0,La,Nd,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.1895,0.73,1.4,3.0,2.0,-2.0,0.1698405,0.1511716,0.304575,5.55095,7.72638,13.618054,4.5,11.0,6.0,Handbook,True
SrGdVO4,1.0,1.7594771745925006,-0.226593685000001,SrGdVO4,RP,1.0,1.83,1.759477175,1.0,Sr,Gd,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.2085,0.64,1.4,2.5,3.0,-2.0,0.1564541,0.1273344,0.304575,5.9223316,6.746187,13.618054,6.0,5.0,6.0,Handbook,True
NdTbCuO4,1.0,1.8029280315393583,0.9468991987499996,NdTbCuO4,RP,1.0,1.83,1.802928032,1.0,Nd,Tb,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.129,0.73,1.4,3.0,2.0,-2.0,0.187701,0.1511716,0.304575,5.6944,7.72638,13.618054,8.5,11.0,6.0,Handbook,True
SrEuCoO4,1.0,1.7670146406649938,-1.0438948856250043,SrEuCoO4,RP,1.0,1.83,1.767014641,1.0,Sr,Eu,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.215,0.61,1.4,2.5,3.0,-2.0,0.1542216,0.1432363,0.304575,5.6826261,7.88101,13.618054,5.5,9.0,6.0,Handbook,True
PrTbCuO4,1.0,1.7970654783019766,0.9888087206249984,PrTbCuO4,RP,1.0,1.83,1.797065478,1.0,Pr,Tb,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.137,0.73,1.4,3.0,2.0,-2.0,0.1854715,0.1511716,0.304575,5.6684,7.72638,13.618054,8.0,11.0,6.0,Handbook,True
CaLaFeO4,1.0,1.7631478410433954,-0.2388061106249992,CaLaFeO4,RP,1.0,1.83,1.763147841,1.0,Ca,La,Fe,Fe,O,O,9.0,9.0,6.0,6.0,6.0,1.198,0.645,1.4,2.5,3.0,-2.0,0.13927695,0.1392532,0.304575,5.8450276,7.9024678,13.618054,2.5,8.0,6.0,Handbook,True
CaLaCrO4,1.0,1.7723158454412231,-0.258476630625001,CaLaCrO4,RP,1.0,1.83,1.772315845,1.0,Ca,La,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.198,0.615,1.4,2.5,3.0,-2.0,0.13927695,0.1313053,0.304575,5.8450276,6.76651,13.618054,2.5,6.0,6.0,Handbook,True
Sr2IrO4,1.0,1.7242866363132126,-0.2473477299999977,Sr2IrO4,RP,1.0,1.83,1.724286636,1.0,Sr,Sr,Ir,Ir,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.625,1.4,2.0,4.0,-2.0,0.1185082,0.25106,0.304575,5.6948672,8.96702,13.618054,2.0,9.0,6.0,Handbook,True
SrNdAlO4,1.0,1.804865362958965,-0.321620483125006,SrNdAlO4,RP,1.0,1.83,1.804865363,1.0,Sr,Nd,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.2365,0.535,1.4,2.5,3.0,-2.0,0.1475236,0.150078,0.304575,5.6099336,5.9857684,13.618054,4.0,3.0,6.0,Handbook,True
SrPrCrO4,1.0,1.7529901861447346,-0.4207406687499961,SrPrCrO4,RP,1.0,1.83,1.752990186,1.0,Sr,Pr,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.2445,0.615,1.4,2.5,3.0,-2.0,0.1452941,0.1313053,0.304575,5.5839336,6.76651,13.618054,3.5,6.0,6.0,Handbook,True
Sr2CrO4,1.0,1.7717198494687871,-1.1247123249999973,Sr2CrO4,RP,1.0,1.83,1.771719849,1.0,Sr,Sr,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.55,1.4,2.0,4.0,-2.0,0.1185082,0.1313053,0.304575,5.6948672,6.76651,13.618054,2.0,6.0,6.0,Handbook,True
Sr2CoO4,1.0,1.7889572106799034,-0.8648800849999958,Sr2CoO4,RP,1.0,1.83,1.788957211,1.0,Sr,Sr,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.53,1.4,2.0,4.0,-2.0,0.1185082,0.1432363,0.304575,5.6948672,7.88101,13.618054,2.0,9.0,6.0,Handbook,True
Ba2ZrS4,1.0,1.8385105494202196,-0.4588459299999989,Ba2ZrS4,RP,1.0,1.83,1.838510549,0.0,Ba,Ba,Zr,Zr,S,S,9.0,9.0,6.0,6.0,6.0,1.47,0.72,1.84,2.0,4.0,-2.0,0.1586786,0.1248887,0.23596,5.211664,6.6339,10.36001,2.0,4.0,6.0,Handbook,True
Ba2SnO4,1.0,1.644749487863573,-1.523318800000002,Ba2SnO4,RP,1.0,1.83,1.644749488,1.0,Ba,Ba,Sn,Sn,O,O,9.0,9.0,6.0,6.0,6.0,1.47,0.69,1.4,2.0,4.0,-2.0,0.1586786,0.178052,0.304575,5.211664,7.343917,13.618054,2.0,4.0,6.0,Handbook,True
Ba2HfS4,1.0,1.8431113933759649,-0.495197080000004,Ba2HfS4,RP,1.0,1.83,1.843111393,0.0,Ba,Ba,Hf,Hf,S,S,9.0,9.0,6.0,6.0,6.0,1.47,0.71,1.84,2.0,4.0,-2.0,0.1586786,0.229987,0.23596,5.211664,6.82507,10.36001,2.0,4.0,6.0,Handbook,True
NaNdTiO4,1.0,1.7747498054570228,-1.023072628125,NaNdTiO4,RP,1.0,1.83,1.774749805,1.0,Na,Nd,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.2015,0.605,1.4,2.0,4.0,-2.0,0.1348765,0.1233637,0.304575,5.33203835,6.82812,13.618054,3.5,4.0,6.0,Handbook,True
Eu2ZrO4,1.0,1.70117893968697,0.1176586000000092,Eu2ZrO4,RP,1.0,1.83,1.70117894,1.0,Eu,Eu,Zr,Zr,O,O,9.0,9.0,6.0,6.0,6.0,1.3,0.72,1.4,2.0,4.0,-2.0,0.189935,0.1248887,0.304575,5.670385,6.6339,13.618054,9.0,4.0,6.0,Handbook,True
Ca2GeO4,1.0,1.8270101170640247,-0.666877666666668,Ca2GeO4,RP,1.0,1.83,1.827010117,1.0,Ca,Ca,Ge,Ge,O,O,9.0,9.0,6.0,6.0,6.0,1.18,0.53,1.4,2.0,4.0,-2.0,0.1154119,0.1895892,0.304575,6.1131552,7.899435,13.618054,2.0,4.0,6.0,Handbook,True
Ba2HfO4,1.0,1.6375014236165244,-1.4125517674999983,Ba2HfO4,RP,1.0,1.83,1.637501424,1.0,Ba,Ba,Hf,Hf,O,O,9.0,9.0,6.0,6.0,6.0,1.47,0.71,1.4,2.0,4.0,-2.0,0.1586786,0.229987,0.304575,5.211664,6.82507,13.618054,2.0,4.0,6.0,Handbook,True
Eu2VO4,1.0,1.7526919201025333,-1.5962641799999986,Eu2VO4,RP,1.0,1.83,1.75269192,1.0,Eu,Eu,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.3,0.58,1.4,2.0,4.0,-2.0,0.189935,0.1273344,0.304575,5.670385,6.746187,13.618054,9.0,5.0,6.0,Handbook,True
Cs2NpO4,1.0,1.558049082644534,-3.414155320000006,Cs2NpO4,RP,1.0,1.83,1.558049083,1.0,Cs,Cs,Np,Np,O,O,9.0,9.0,6.0,6.0,6.0,1.78,0.72,1.4,1.0,6.0,-2.0,0.1542125,0.14265,0.304575,3.893905548,6.2655,13.618054,1.0,7.0,6.0,Handbook,True
SrLaVO4,1.0,1.7357952466991322,-0.683491815625004,SrLaVO4,RP,1.0,1.83,1.735795247,1.0,Sr,La,V,V,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.64,1.4,2.5,3.0,-2.0,0.1408251,0.1273344,0.304575,5.6358836,6.746187,13.618054,2.5,5.0,6.0,Handbook,True
NaSmTiO4,1.0,1.7814204668998768,-0.8064394987500023,NaSmTiO4,RP,1.0,1.83,1.781420467,1.0,Na,Sm,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.186,0.605,1.4,2.0,4.0,-2.0,0.139341,0.1233637,0.304575,5.39139335,6.82812,13.618054,4.5,4.0,6.0,Handbook,True
NaTmTiO4,1.0,1.7999029651350629,-0.2895258256249988,NaTmTiO4,RP,1.0,1.83,1.799902965,1.0,Na,Tm,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.146,0.605,1.4,2.0,4.0,-2.0,0.1549692,0.1233637,0.304575,5.66169335,6.82812,13.618054,8.0,4.0,6.0,Handbook,True
NaYTiO4,1.0,1.7943925340976052,-0.5423732562499985,NaYTiO4,RP,1.0,1.83,1.794392534,1.0,Na,Y,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.1575,0.605,1.4,2.0,4.0,-2.0,0.1074563,0.1233637,0.304575,5.67816835,6.82812,13.618054,2.0,4.0,6.0,Handbook,True
SrNdNiO4,1.0,1.76298367004907,-0.9290180906250036,SrNdNiO4,RP,1.0,1.83,1.76298367,1.0,Sr,Nd,Ni,Ni,O,O,9.0,9.0,6.0,6.0,6.0,1.2365,0.6,1.4,2.5,3.0,-2.0,0.1475236,0.1472068,0.304575,5.6099336,7.639877,13.618054,4.0,10.0,6.0,Handbook,True
EuTbCuO4,1.0,1.8193179853258497,0.6851487337500011,EuTbCuO4,RP,1.0,1.83,1.819317985,1.0,Eu,Tb,Cu,Cu,O,O,9.0,9.0,6.0,6.0,6.0,1.1075,0.73,1.4,3.0,2.0,-2.0,0.194399,0.1511716,0.304575,5.7670925,7.72638,13.618054,10.0,11.0,6.0,Handbook,True
Eu2TiO4,1.0,1.73778288848046,-1.3020001500000014,Eu2TiO4,RP,1.0,1.83,1.737782888,1.0,Eu,Eu,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.3,0.605,1.4,2.0,4.0,-2.0,0.189935,0.1233637,0.304575,5.670385,6.82812,13.618054,9.0,4.0,6.0,Handbook,True
SrEuAlO4,1.0,1.811549373471526,-0.3870274181250082,SrEuAlO4,RP,1.0,1.83,1.811549373,1.0,Sr,Eu,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.215,0.535,1.4,2.5,3.0,-2.0,0.1542216,0.150078,0.304575,5.6826261,5.9857684,13.618054,5.5,3.0,6.0,Handbook,True
EuSmAlO4,1.0,1.8112306068664503,-0.7444868037500036,EuSmAlO4,RP,1.0,1.83,1.811230607,1.0,Eu,Sm,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.216,0.535,1.4,2.5,3.0,-2.0,0.1877015,0.150078,0.304575,5.6570475,5.9857684,13.618054,8.5,3.0,6.0,Handbook,True
EuPrAlO4,1.0,1.8039602596440096,-0.4264648212500006,EuPrAlO4,RP,1.0,1.83,1.80396026,1.0,Eu,Pr,Al,Al,O,O,9.0,9.0,6.0,6.0,6.0,1.2395,0.535,1.4,2.5,3.0,-2.0,0.1810075,0.150078,0.304575,5.5716925,5.9857684,13.618054,7.0,3.0,6.0,Handbook,True
Ba2PbO4,1.0,1.6219943266455483,-1.3877732800000049,Ba2PbO4,RP,1.0,1.83,1.621994327,1.0,Ba,Ba,Pb,Pb,O,O,9.0,9.0,6.0,6.0,6.0,1.47,0.775,1.4,2.0,4.0,-2.0,0.1586786,0.177911,0.304575,5.211664,7.4166796,13.618054,2.0,4.0,6.0,Handbook,True
Sr2HfO4,1.0,1.6979664456135848,-0.6481336375000026,Sr2HfO4,RP,1.0,1.83,1.697966446,1.0,Sr,Sr,Hf,Hf,O,O,9.0,9.0,6.0,6.0,6.0,1.31,0.71,1.4,2.0,4.0,-2.0,0.1185082,0.229987,0.304575,5.6948672,6.82507,13.618054,2.0,4.0,6.0,Handbook,True
SrGdCrO4,1.0,1.767756332517428,-0.2751355700000104,SrGdCrO4,RP,1.0,1.83,1.767756333,1.0,Sr,Gd,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.2085,0.615,1.4,2.5,3.0,-2.0,0.1564541,0.1313053,0.304575,5.9223316,6.76651,13.618054,6.0,6.0,6.0,Handbook,True
SrNdCrO4,1.0,1.756160402772626,-0.2857608506250031,SrNdCrO4,RP,1.0,1.83,1.756160403,1.0,Sr,Nd,Cr,Cr,O,O,9.0,9.0,6.0,6.0,6.0,1.2365,0.615,1.4,2.5,3.0,-2.0,0.1475236,0.1313053,0.304575,5.6099336,6.76651,13.618054,4.0,6.0,6.0,Handbook,True
SrGdNiO4,1.0,1.7740208429174125,4.410872909999998,SrGdNiO4,RP,1.0,1.83,1.774020843,1.0,Sr,Gd,Ni,Ni,O,O,9.0,9.0,6.0,6.0,6.0,1.2085,0.6,1.4,2.5,3.0,-2.0,0.1564541,0.1472068,0.304575,5.9223316,7.639877,13.618054,6.0,10.0,6.0,Handbook,True
SrLaScO4,1.0,1.71877839064839,0.0778520150000012,SrLaScO4,RP,1.0,1.83,1.718778391,1.0,Sr,La,Sc,Sc,O,O,9.0,9.0,6.0,6.0,6.0,1.263,0.745,1.4,2.5,3.0,-2.0,0.1408251,0.1193833,0.304575,5.6358836,6.56149,13.618054,2.5,3.0,6.0,Handbook,True
NaPrTiO4,1.0,1.7714067879496402,-0.9538977162500012,NaPrTiO4,RP,1.0,1.83,1.771406788,1.0,Na,Pr,Ti,Ti,O,O,9.0,9.0,6.0,6.0,6.0,1.2095,0.605,1.4,2.0,4.0,-2.0,0.132647,0.1233637,0.304575,5.30603835,6.82812,13.618054,3.0,4.0,6.0,Handbook,True
Nd2CoO4,1.0,1.781185951872329,0.26318267125,Nd2CoO4,RP,1.0,1.83,1.781185952,1.0,Nd,Nd,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.163,0.745,1.4,3.0,2.0,-2.0,0.176539,0.1432363,0.304575,5.525,7.88101,13.618054,6.0,9.0,6.0,Handbook,True
Pr2CoO4,1.0,1.7701239843452896,0.3632590850000028,Pr2CoO4,RP,1.0,1.83,1.770123984,1.0,Pr,Pr,Co,Co,O,O,9.0,9.0,6.0,6.0,6.0,1.179,0.745,1.4,3.0,2.0,-2.0,0.17208,0.1432363,0.304575,5.473,7.88101,13.618054,5.0,9.0,6.0,Handbook,True
Ba2RuO4,1.0,1.6805746102056962,-1.1337961399999976,Ba2RuO4,RP,1.0,1.83,1.68057461,1.0,Ba,Ba,Ru,Ru,O,O,9.0,9.0,6.0,6.0,6.0,1.47,0.62,1.4,2.0,4.0,-2.0,0.1586786,0.1376494,0.304575,5.211664,7.3605,13.618054,2.0,8.0,6.0,Handbook,True
La2CdS4,0.0,2.002056310376919,2.2701355824999983,La2CdS4,Th3P4,1.0,1.83,2.00205631,0.0,La,La,Cd,Cd,S,S,9.0,9.0,6.0,6.0,6.0,1.216,0.95,1.84,3.0,2.0,-2.0,0.163142,0.1504066,0.23596,5.5769,8.993822,10.36001,3.0,12.0,6.0,Handbook,True
Sm2CdS4,0.0,2.0959993451374666,2.6018300975000006,Sm2CdS4,Th3P4,1.0,1.83,2.095999345,0.0,Sm,Sm,Cd,Cd,S,S,9.0,9.0,6.0,6.0,6.0,1.132,0.95,1.84,3.0,2.0,-2.0,0.185468,0.1504066,0.23596,5.64371,8.993822,10.36001,8.0,12.0,6.0,Handbook,True
La2SrS4,0.0,2.190394111826036,4.0737779325000005,La2SrS4,Th3P4,1.0,1.83,2.190394112,0.0,La,La,Sr,Sr,S,S,9.0,9.0,6.0,6.0,6.0,1.216,1.18,1.84,3.0,2.0,-2.0,0.163142,0.1185082,0.23596,5.5769,5.6948672,10.36001,3.0,2.0,6.0,Handbook,True
La2PbSe4,0.0,2.247603137263818,3.7908249725,La2PbSe4,Th3P4,1.0,1.83,2.247603137,0.0,La,La,Pb,Pb,Se,Se,9.0,9.0,6.0,6.0,6.0,1.216,1.19,1.98,3.0,2.0,-2.0,0.163142,0.177911,0.2240328,5.5769,7.4166796,9.752392,3.0,4.0,6.0,Handbook,True
La2PbS4,0.0,2.201164354399607,3.9450563824999954,La2PbS4,Th3P4,1.0,1.83,2.201164354,0.0,La,La,Pb,Pb,S,S,9.0,9.0,6.0,6.0,6.0,1.216,1.19,1.84,3.0,2.0,-2.0,0.163142,0.177911,0.23596,5.5769,7.4166796,10.36001,3.0,4.0,6.0,Handbook,True
Ce2CdSe4,0.0,2.074614845851141,2.7873158112500027,Ce2CdSe4,Th3P4,1.0,1.83,2.074614846,0.0,Ce,Ce,Cd,Cd,Se,Se,9.0,9.0,6.0,6.0,6.0,1.196,0.95,1.98,3.0,2.0,-2.0,0.16761,0.1504066,0.2240328,5.5386,8.993822,9.752392,4.0,12.0,6.0,Handbook,True
Pr2CaS4,0.0,2.075869237248891,3.419027042500004,Pr2CaS4,Th3P4,1.0,1.83,2.075869237,0.0,Pr,Pr,Ca,Ca,S,S,9.0,9.0,6.0,6.0,6.0,1.179,1.0,1.84,3.0,2.0,-2.0,0.17208,0.1154119,0.23596,5.473,6.1131552,10.36001,5.0,2.0,6.0,Handbook,True
Yb2CaS4,0.0,2.277476455619826,4.083414606249997,Yb2CaS4,Th3P4,1.0,1.83,2.277476456,0.0,Yb,Yb,Ca,Ca,S,S,9.0,9.0,6.0,6.0,6.0,1.042,1.0,1.84,3.0,2.0,-2.0,0.22119,0.1154119,0.23596,6.25416,6.1131552,10.36001,16.0,2.0,6.0,Handbook,True
Bi2YbTe4,0.0,2.231986442875812,3.411547970000001,Bi2YbTe4,Th3P4,1.0,1.83,2.231986443,0.0,Bi,Bi,Yb,Yb,Te,Te,9.0,9.0,6.0,6.0,6.0,1.17,1.02,2.21,3.0,2.0,-2.0,0.182377,0.22119,0.2056992,7.285516,6.25416,9.00966,5.0,16.0,6.0,Handbook,True
Bi2EuTe4,0.0,2.374368541872553,3.4367179399999976,Bi2EuTe4,Th3P4,1.0,1.83,2.374368542,0.0,Bi,Bi,Eu,Eu,Te,Te,9.0,9.0,6.0,6.0,6.0,1.17,1.17,2.21,3.0,2.0,-2.0,0.182377,0.189935,0.2056992,7.285516,5.670385,9.00966,5.0,9.0,6.0,Handbook,True
Ho2CaS4,0.0,2.2266486653708766,4.64414363,Ho2CaS4,Th3P4,1.0,1.83,2.226648665,0.0,Ho,Ho,Ca,Ca,S,S,9.0,9.0,6.0,6.0,6.0,1.072,1.0,1.84,3.0,2.0,-2.0,0.207795,0.1154119,0.23596,6.0215,6.1131552,10.36001,13.0,2.0,6.0,Handbook,True
Nd2CaS4,0.0,2.095799812496924,3.388819005,Nd2CaS4,Th3P4,1.0,1.83,2.095799812,0.0,Nd,Nd,Ca,Ca,S,S,9.0,9.0,6.0,6.0,6.0,1.163,1.0,1.84,3.0,2.0,-2.0,0.176539,0.1154119,0.23596,5.525,6.1131552,10.36001,6.0,2.0,6.0,Handbook,True
La2CaS4,0.0,2.032755816569652,2.7787361425,La2CaS4,Th3P4,1.0,1.83,2.032755817,0.0,La,La,Ca,Ca,S,S,9.0,9.0,6.0,6.0,6.0,1.216,1.0,1.84,3.0,2.0,-2.0,0.163142,0.1154119,0.23596,5.5769,6.1131552,10.36001,3.0,2.0,6.0,Handbook,True
Gd2CrS4,0.0,2.03883264502032,1.3906711074999922,Gd2CrS4,Th3P4,1.0,1.83,2.038832645,0.0,Gd,Gd,Cr,Cr,S,S,9.0,9.0,6.0,6.0,6.0,1.107,0.8,1.84,3.0,2.0,-2.0,0.1944,0.1313053,0.23596,6.149796,6.76651,10.36001,10.0,6.0,6.0,Handbook,True
Pr2EuS4,0.0,2.238844353591252,3.824905912500004,Pr2EuS4,Th3P4,1.0,1.83,2.238844354,0.0,Pr,Pr,Eu,Eu,S,S,9.0,9.0,6.0,6.0,6.0,1.179,1.17,1.84,3.0,2.0,-2.0,0.17208,0.189935,0.23596,5.473,5.670385,10.36001,5.0,9.0,6.0,Handbook,True
La2EuSe4,0.0,2.2266604056981425,3.4543484724999978,La2EuSe4,Th3P4,1.0,1.83,2.226660406,0.0,La,La,Eu,Eu,Se,Se,9.0,9.0,6.0,6.0,6.0,1.216,1.17,1.98,3.0,2.0,-2.0,0.163142,0.189935,0.2240328,5.5769,5.670385,9.752392,3.0,9.0,6.0,Handbook,True
Dy2YbS4,0.0,2.230141935319064,4.119369745000002,Dy2YbS4,Th3P4,1.0,1.83,2.230141935,0.0,Dy,Dy,Yb,Yb,S,S,9.0,9.0,6.0,6.0,6.0,1.083,1.02,1.84,3.0,2.0,-2.0,0.20333,0.22119,0.23596,5.93905,6.25416,10.36001,12.0,16.0,6.0,Handbook,True
Gd2CdTe4,0.0,2.2616912285351165,3.684888719999997,Gd2CdTe4,Th3P4,1.0,1.83,2.261691229,0.0,Gd,Gd,Cd,Cd,Te,Te,9.0,9.0,6.0,6.0,6.0,1.107,0.95,2.21,3.0,2.0,-2.0,0.1944,0.1504066,0.2056992,6.149796,8.993822,9.00966,10.0,12.0,6.0,Handbook,True
Gd2CdSe4,0.0,2.180144266556635,3.6066107700000014,Gd2CdSe4,Th3P4,1.0,1.83,2.180144267,0.0,Gd,Gd,Cd,Cd,Se,Se,9.0,9.0,6.0,6.0,6.0,1.107,0.95,1.98,3.0,2.0,-2.0,0.1944,0.1504066,0.2240328,6.149796,8.993822,9.752392,10.0,12.0,6.0,Handbook,True
Gd2CdS4,0.0,2.1281695048761904,3.552010452499994,Gd2CdS4,Th3P4,1.0,1.83,2.128169505,0.0,Gd,Gd,Cd,Cd,S,S,9.0,9.0,6.0,6.0,6.0,1.107,0.95,1.84,3.0,2.0,-2.0,0.1944,0.1504066,0.23596,6.149796,8.993822,10.36001,10.0,12.0,6.0,Handbook,True
Ce2CdS4,0.0,2.022640084170696,2.850459932500004,Ce2CdS4,Th3P4,1.0,1.83,2.022640084,0.0,Ce,Ce,Cd,Cd,S,S,9.0,9.0,6.0,6.0,6.0,1.196,0.95,1.84,3.0,2.0,-2.0,0.16761,0.1504066,0.23596,5.5386,8.993822,10.36001,4.0,12.0,6.0,Handbook,True
Ho2YbS4,0.0,2.248439522252857,3.918481885,Ho2YbS4,Th3P4,1.0,1.83,2.248439522,0.0,Ho,Ho,Yb,Yb,S,S,9.0,9.0,6.0,6.0,6.0,1.072,1.02,1.84,3.0,2.0,-2.0,0.207795,0.22119,0.23596,6.0215,6.25416,10.36001,13.0,16.0,6.0,Handbook,True
