Compound,Type,Label,n,criterion,t_RP,p_Label,A1,A2,B1,B2,X1,X2,cnA1,cnA2,cnB1,cnB2,cnX,rA,rB,rX,nA,nB,nX,xA,xB,xX,iA,iB,iX,vA,vB,vX,Source,train,Substance
CaYAlO4,RP,1,1,1.83,1.842810855,0,Ca,Y,Al,Al,O,O,9,9,6,6,6,1.1275,0.535,1.4,2.5,3.0,-2.0,0.11855525,0.150078,0.304575,6.1652076,5.9857684,13.618054,2.5,3.0,6.0,Handbook,True,CaYAlO4
DyEuCuO4,RP,1,1,1.83,1.824064078,1,Dy,Eu,Cu,Cu,O,O,9,9,6,6,6,1.1015,0.73,1.4,3.0,2.0,-2.0,0.1966325,0.1511716,0.304575,5.8047175,7.72638,13.618054,10.5,11.0,6.0,Handbook,True,DyEuCuO4
DyNdCuO4,RP,1,1,1.83,1.807407412,1,Dy,Nd,Cu,Cu,O,O,9,9,6,6,6,1.123,0.73,1.4,3.0,2.0,-2.0,0.1899345,0.1511716,0.304575,5.732025,7.72638,13.618054,9.0,11.0,6.0,Handbook,True,DyNdCuO4
DyPrCuO4,RP,1,1,1.83,1.801450723,1,Dy,Pr,Cu,Cu,O,O,9,9,6,6,6,1.131,0.73,1.4,3.0,2.0,-2.0,0.187705,0.1511716,0.304575,5.706025,7.72638,13.618054,8.5,11.0,6.0,Handbook,True,DyPrCuO4
EuLaCuO4,RP,1,1,1.83,1.775474529,1,Eu,La,Cu,Cu,O,O,9,9,6,6,6,1.168,0.73,1.4,3.0,2.0,-2.0,0.1765385,0.1511716,0.304575,5.6236425,7.72638,13.618054,6.0,11.0,6.0,Handbook,True,EuLaCuO4
NaLuTiO4,RP,1,1,1.83,1.804831303,1,Na,Lu,Ti,Ti,O,O,9,9,6,6,6,1.136,0.605,1.4,2.0,4.0,-2.0,0.159432,0.1233637,0.304575,5.28247385,6.82812,13.618054,9.0,4.0,6.0,Handbook,True,NaLuTiO4
SrPrScO4,RP,1,1,1.83,1.729199854,1,Sr,Pr,Sc,Sc,O,O,9,9,6,6,6,1.2445,0.745,1.4,2.5,3.0,-2.0,0.1452941,0.1193833,0.304575,5.5839336,6.56149,13.618054,3.5,3.0,6.0,Handbook,True,SrPrScO4
SrPrNiO4,RP,1,1,1.83,1.759966212,1,Sr,Pr,Ni,Ni,O,O,9,9,6,6,6,1.2445,0.6,1.4,2.5,3.0,-2.0,0.1452941,0.1472068,0.304575,5.5839336,7.639877,13.618054,3.5,10.0,6.0,Handbook,True,SrPrNiO4
SrNdVO4,RP,1,1,1.83,1.746919325,1,Sr,Nd,V,V,O,O,9,9,6,6,6,1.2365,0.64,1.4,2.5,3.0,-2.0,0.1475236,0.1273344,0.304575,5.6099336,6.746187,13.618054,4.0,5.0,6.0,Handbook,True,SrNdVO4
SrGdFeO4,RP,1,1,1.83,1.758132648,1,Sr,Gd,Fe,Fe,O,O,9,9,6,6,6,1.2085,0.645,1.4,2.5,3.0,-2.0,0.1564541,0.1392532,0.304575,5.9223316,7.9024678,13.618054,6.0,8.0,6.0,Handbook,True,SrGdFeO4
