Descriptor,Accuracy_test,Accuracy_avg_fold_test,Num_features,Num_operators,Num_total,Unitless
(((rX-rA)/xX)-(rA+rB)),0.867647059,0.785723684,5,4,9,
(((rX/rA))^2/exp((rB/rX))),0.867647059,0.785723684,4,5,9,
(((rA-rX)/rB)-(rX/rA)),0.867647059,0.785723684,5,4,9,
((rB/(rA+rX))-(rX/rA)),0.867647059,0.785723684,5,4,9,
(exp(rA)/(exp(rX)+exp(-rA))),0.867647059,0.785723684,3,6,8,
((sqrt(rA)/rX)*sqrt((rA+rB))),0.867647059,0.785723684,4,5,9,
(exp(rA)/(exp(rX)+exp(-rB))),0.867647059,0.785745614,3,6,8,
((rA-rX)/(sqrt(rA)+sqrt(rB))),0.867647059,0.785745614,4,5,9,
((xX*exp(rB))/((rA-rX))^2),0.867647059,0.785745614,4,5,9,
(exp((rX-rA))+exp(-(rB+rX))),0.867647059,0.785745614,4,6,9,
((exp(rX)+exp(-rB))/exp(rA)),0.867647059,0.785745614,3,6,8,
(((rA-rX))^2/(xX*exp(rB))),0.867647059,0.785745614,4,5,9,
((rX/rA)/(exp(-rB)-exp(xX))),0.867647059,0.785745614,4,6,9,
((exp(-rB)-exp(xX))/(rX/rA)),0.867647059,0.785745614,4,6,9,
(exp((rX/rA))+exp(-(rB/rA))),0.867647059,0.785701754,4,6,9,
((rA*exp(rB))/((rA-rX))^2),0.867647059,0.785701754,4,5,9,
((sqrt(rA)/rX)/((rA-rX))^2),0.867647059,0.768903509,4,5,9,
(((rX-rA)/sqrt(xX))-rB),0.867647059,0.785679825,4,4,8,
(log((rA/rX))*(sqrt(rB)/xX)),0.867647059,0.785657895,4,5,9,
(log((rA/rX))*sqrt((rB*rX))),0.867647059,0.785657895,4,5,9,
((rA-rX)*exp((rB/rX))),0.867647059,0.785657895,4,4,8,
(((rX/xX)-rX)/(rA)^2),0.867647059,0.768881579,4,4,8,
((rX/rA)+sqrt(exp(-rB))),0.867647059,0.768881579,3,5,7,
(((rX/rA))^2/sqrt(exp(rB))),0.867647059,0.768881579,3,5,8,
((xX+(rA/rX))-sqrt(exp(-rB))),0.867647059,0.768881579,4,6,9,
(sqrt((rX-rB))/(xX*exp(rA))),0.867647059,0.768881579,4,5,9,
((rA-rX)+(rB*sqrt(xX))),0.867647059,0.785679825,4,4,8,
(((rA*xX)*(rA+rB))/rX),0.867647059,0.768881579,5,4,9,
(exp(sqrt(rB))*((xX)^2*exp(rA))),0.867647059,0.768881579,3,6,9,
(exp((rA/rX))-exp(-rB)),0.867647059,0.768881579,3,5,7,
((rX/(rA*xX))/(rA+rB)),0.867647059,0.768881579,5,4,9,
(log((rA/rX))*(rX/sqrt(rA))),0.867647059,0.785679825,4,5,9,
(((rA-rX)*sqrt(rX))/rA),0.867647059,0.785679825,4,4,8,
(((rA+rX)/rA)+sqrt(exp(-rB))),0.867647059,0.768881579,4,6,9,
(((rA*rB)/rX)-(rX-rA)),0.867647059,0.768881579,5,4,9,
((exp(-rA)/(xX)^2)/sqrt(exp(rB))),0.867647059,0.768881579,3,7,9,
((rA-rX)/sqrt((rB+rX))),0.867647059,0.783640351,4,4,8,
(exp((rX-rA))/exp(-(rX/rA))),0.867647059,0.783618421,4,6,9,
((rA)^2/(exp(rX)-exp(xX))),0.867647059,0.783618421,3,5,8,
(((rA-rX)/rA)*exp(sqrt(rA))),0.867647059,0.783618421,4,5,9,
(((rA)^2+(rB)^2)/log(rX)),0.867647059,0.783618421,3,5,8,
(sqrt((rB*xX))/((rA-rX))^2),0.867647059,0.768903509,4,5,9,
((rB/log(xX))-(rA-rX)),0.867647059,0.783640351,4,4,8,
((rA-rX)/(sqrt(rB)+sqrt(rX))),0.867647059,0.783640351,4,5,9,
((xX*exp(rA))/sqrt((rX-rB))),0.867647059,0.768881579,4,5,9,
((rA-rX)*(xX/sqrt(rB))),0.867647059,0.783574561,4,4,8,
((rA-rX)/sqrt((rA+rB))),0.867647059,0.783640351,4,4,8,
(((rA-rX))^2/(rB/rX)),0.867647059,0.783662281,4,4,8,
((rB/rX)/((rA-rX))^2),0.867647059,0.783662281,4,4,8,
(exp((rA/rX))+exp(-(rB)^-1)),0.867647059,0.768881579,3,7,9,
