Substance,Type,Label,n,A1,A2,B1,B2,X1,X2,rA,rB,rX,xX
Ca2GeS4,olivine,0,1,Ca,Ca,Ge,Ge,S,S,1.18,0.53,1.84,0.23596
Cs2ZnI4,k2so4,0,1,Cs,Cs,Zn,Zn,I,I,1.78,0.74,2.2,0.2195175999999999
Ba2TiO4,k2so4,0,1,Ba,Ba,Ti,Ti,O,O,1.47,0.605,1.4,0.304575
Rb2ZnBr4,k2so4,0,1,Rb,Rb,Zn,Zn,Br,Br,1.63,0.74,1.96,0.2412578
Rb2CoCl4,k2so4,0,1,Rb,Rb,Co,Co,Cl,Cl,1.63,0.745,1.81,0.263803
K2BaCl4,th3p4,0,1,K,K,Ba,Ba,Cl,Cl,1.55,1.35,1.81,0.263803
Rb2BaBr4,th3p4,0,1,Rb,Rb,Ba,Ba,Br,Br,1.63,1.35,1.96,0.2412578
Ho2CdS4,spinel,0,1,Ho,Ho,Cd,Cd,S,S,1.072,0.95,1.84,0.23596
La2CdS4,th3p4,0,1,La,La,Cd,Cd,S,S,1.216,0.95,1.84,0.23596
Co2RhS4,spinel,0,1,Co,Co,Rh,Rh,S,S,0.9,0.6,1.84,0.23596
Co2VO4,spinel,0,1,Co,Co,V,V,O,O,0.9,0.58,1.4,0.304575
Co2TiO4,spinel,0,1,Co,Co,Ti,Ti,O,O,0.9,0.605,1.4,0.304575
Co2TcO4,spinel,0,1,Co,Co,Tc,Tc,O,O,0.9,0.645,1.4,0.304575
Cs2HgCl4,k2so4,0,1,Cs,Cs,Hg,Hg,Cl,Cl,1.78,1.02,1.81,0.263803
Cs2CuBr4,k2so4,0,1,Cs,Cs,Cu,Cu,Br,Br,1.78,0.73,1.96,0.2412578
Rb2BaCl4,th3p4,0,1,Rb,Rb,Ba,Ba,Cl,Cl,1.63,1.35,1.81,0.263803
Sm2CdS4,th3p4,0,1,Sm,Sm,Cd,Cd,S,S,1.132,0.95,1.84,0.23596
Cs2WSe4,k2so4,0,1,Cs,Cs,W,W,Se,Se,1.78,0.6,1.98,0.2240328
Sr2SiO4,k2so4,0,1,Sr,Sr,Si,Si,O,O,1.31,0.4,1.4,0.304575
Zn2GeO4,spinel,0,1,Zn,Zn,Ge,Ge,O,O,0.9,0.53,1.4,0.304575
Lu2FeS4,spinel,0,1,Lu,Lu,Fe,Fe,S,S,1.032,0.78,1.84,0.23596
In2FeS4,spinel,0,1,In,In,Fe,Fe,S,S,0.92,0.78,1.84,0.23596
Fe2GeSe4,olivine,0,1,Fe,Fe,Ge,Ge,Se,Se,0.92,0.53,1.98,0.2240328
Fe2TiO4,spinel,0,1,Fe,Fe,Ti,Ti,O,O,0.92,0.605,1.4,0.304575
Mn2GeS4,olivine,0,1,Mn,Mn,Ge,Ge,S,S,0.96,0.53,1.84,0.23596
Mn2GeSe4,olivine,0,1,Mn,Mn,Ge,Ge,Se,Se,0.96,0.53,1.98,0.2240328
