Substance,Label,rp,f.e
K2PbCl4,0,1.8227193738540275,0.6656204650000017
Tl2CuF4,1,1.5605750685841602,-0.4882982700000013
Cs2UO4,1,1.5530416768917579,-3.239797240000001
K2UO4,1,1.6066601433794372,-3.350565209999999
Sr2MoO4,1,1.7137965454331783,-1.3111372099999985
Nd2NiO4,1,1.7764214529604367,0.1314144512500021
Rb2PuO4,1,1.5939513898951265,-3.739536819999998
Rb2UO4,1,1.5854216247346613,-3.544043100000003
Cs2MnCl4,1,1.6941554427122298,0.2484328900000001
Sr2MnO4,1,1.7889572106799034,-1.3532722016666696
La2NiO4,1,1.7464062064994625,-0.1647227287500001
La2CoO4,1,1.7461949580327947,-0.0029236587499994
Ba2ZrO4,1,1.6343334192061052,-1.295473389999998
Ca2MnO4,1,1.8270101170640252,-0.6326593416666704
K2ZnF4,1,1.5685624106703837,-0.5190239400000003
Cs2TmCl4,1,1.6604627401081502,-0.2843709437499981
Cs2YbCl4,1,1.660474909783897,-0.3513746349999991
La2CuO4,1,1.745244374484105,0.1370280762500009
Rb2ZnF4,1,1.5467380293420308,-0.6077385300000024
Rb2NiF4,1,1.567551183507023,-0.56117083
Rb2MnF4,1,1.5251503381359495,-0.4206319749999991
Tl2UO4,1,1.5956402418283346,-0.9002159750000018
Rb2NpO4,1,1.5895479848058423,-3.734476540000003
Sr2TiO4,1,1.7344889008747393,-1.4499136499999956
Sr2SnO4,1,1.7018560083412568,-0.7724194700000027
Sr2RuO4,1,1.726682038207422,-0.7413689499999947
Sr2RhO4,1,1.737303216617858,-0.4577036649999968
Ca2SiO4,1,1.9857382021488208,-0.4933149050000018
Cs2CdCl4,1,1.6651567882817484,-0.3025700900000014
Rb2CdCl4,1,1.7199942867396587,-0.0779500999999989
Cs2CrCl4,1,1.7061555932883194,-0.3350831100000029
Cs2PuO4,1,1.5633213810611848,-3.500448139999996
Tl2NiF4,1,1.5766806329314889,-0.3254218049999995
Sr2FeO4,1,1.7464051332657429,-1.3175370999999956
