Substance rA rB rX xX
La2CaS4 1.216 1.0 1.84 0.23596
Cu2GeO4 0.73 0.53 1.4 0.304575
Rb2CoI4 1.63 0.745 2.2 0.21951759999999998
Fe2CoO4 0.78 0.745 1.4 0.304575
Cs2CoI4 1.78 0.745 2.2 0.21951759999999998
Rb2ZnCl4 1.63 0.74 1.81 0.263803
Na2ZnCl4 1.24 0.74 1.81 0.263803
Gd2CrS4 1.107 0.8 1.84 0.23596
Pr2EuS4 1.179 1.17 1.84 0.23596
Eu2ZnO4 1.12 0.74 1.4 0.304575
Eu2SiO4 1.3 0.4 1.4 0.304575
La2EuSe4 1.216 1.17 1.98 0.2240328
Er2ZnS4 1.062 0.74 1.84 0.23596
Er2MgSe4 1.062 0.72 1.98 0.2240328
Dy2YbS4 1.083 1.02 1.84 0.23596
Co2GeO4 0.9 0.53 1.4 0.304575
In2CoS4 0.92 0.745 1.84 0.23596
Lu2CaO4 1.032 1.0 1.4 0.304575
Ni2CoS4 0.69 0.53 1.84 0.23596
Gd2CdTe4 1.107 0.95 2.21 0.20569920000000003
Gd2CdSe4 1.107 0.95 1.98 0.2240328
Gd2CdS4 1.107 0.95 1.84 0.23596
Er2CdS4 1.062 0.95 1.84 0.23596
Dy2CdTe4 1.083 0.95 2.21 0.20569920000000003
Dy2CdSe4 1.083 0.95 1.98 0.2240328
Li2ZnI4 0.92 0.74 2.2 0.21951759999999998
Cd2GeO4 1.1 0.53 1.4 0.304575
Cs2BaBr4 1.78 1.35 1.96 0.2412578
Cs2BaCl4 1.78 1.35 1.81 0.263803
Rb2MnI4 1.63 0.83 2.2 0.21951759999999998
FeMnSiO4 0.94 0.4 1.4 0.304575
Ho2YbS4 1.072 1.02 1.84 0.23596
Rb2MoSe4 1.63 0.59 1.98 0.2240328
Mn2SiS4 0.96 0.4 1.84 0.23596
Tm2MnS4 1.052 0.83 1.84 0.23596
Yb2MnS4 1.042 0.83 1.84 0.23596
Sc2MnSe4 0.87 0.83 1.98 0.2240328
Mn2SiSe4 0.96 0.4 1.98 0.2240328
Yb2MnSe4 1.042 0.83 1.98 0.2240328
Rb2MoS4 1.63 0.59 1.84 0.23596
Na2WO4 1.24 0.6 1.4 0.304575
Ho2MgSe4 1.072 0.72 1.98 0.2240328
V2FeO4 0.79 0.645 1.4 0.304575
Fe2SiO4 0.92 0.4 1.4 0.304575
Tb2CdS4 1.095 0.95 1.84 0.23596
La2CdSe4 1.216 0.95 1.98 0.2240328
Lu2CdS4 1.032 0.95 1.84 0.23596
Mn2VO4 0.96 0.58 1.4 0.304575
Lu2MgSe4 1.032 0.72 1.98 0.2240328
Zn2PtO4 0.9 0.625 1.4 0.304575
Ni2SnO4 0.69 0.69 1.4 0.304575
Ni2SiO4 0.69 0.4 1.4 0.304575
Nd2ZnS4 1.163 0.74 1.84 0.23596
