Substance f.e rA rB rX xX
LiScSiO4 0.6817319531249986 0.895 0.4 1.4 0.304575
LiInSiO4 1.4832836356249963 0.92 0.4 1.4 0.304575
NaYbGeO4 -1.5146460704166709 1.141 0.53 1.4 0.304575
MgMnSiO4 1.366045234999998 0.925 0.4 1.4 0.304575
NaYGeO4 -0.737544222916668 1.1575 0.53 1.4 0.304575
NaTbGeO4 -0.6325413922916638 1.1675 0.53 1.4 0.304575
NaSmGeO4 -0.9504971154166632 1.186 0.53 1.4 0.304575
MnNiGeS4 3.692888265000001 0.825 0.53 1.84 0.23596
LiYGeO4 0.115676982083329 0.9975 0.53 1.4 0.304575
NaSrVO4 -1.7826923650000026 1.275 0.54 1.4 0.304575
Ag2MoO4 0.9394042062499964 1.28 0.59 1.4 0.304575
Cs2WS4 -1.870416764999998 1.78 0.6 1.84 0.23596
Ce2CdSe4 2.7873158112500027 1.196 0.95 1.98 0.2240328
Fe2CuO4 3.819552747500001 0.78 0.73 1.4 0.304575
EuPrCuO4 0.2323505731250001 1.1495000000000002 0.73 1.4 0.304575
SmPrCuO4 0.7218955674999954 1.1555 0.73 1.4 0.304575
PrGdCuO4 0.8858585187499983 1.143 0.73 1.4 0.304575
Pr2CaS4 3.419027042500004 1.179 1.0 1.84 0.23596
Eu2CuO4 0.3136117362499995 1.12 0.73 1.4 0.304575
Ca2SiS4 2.235883515000001 1.18 0.4 1.84 0.23596
K2CoBr4 1.0280096699999994 1.55 0.745 1.96 0.2412578
Cs2CoBr4 0.3034821299999972 1.78 0.745 1.96 0.2412578
Cs2CdBr4 -0.2256140150000014 1.78 0.95 1.96 0.2412578
Bi2EuTe4 3.4367179399999976 1.17 1.17 2.21 0.2056992
Tl2BeF4 0.679257513333333 1.59 0.45 1.33 0.344443
NdGaCuO4 3.322164811875 0.8915 0.73 1.4 0.304575
EuNdCuO4 0.3730836512499991 1.1415000000000002 0.73 1.4 0.304575
Ho2CaS4 4.64414363 1.072 1.0 1.84 0.23596
EuGdCuO4 0.5609833818749976 1.1135000000000002 0.73 1.4 0.304575
Nd2CaS4 3.388819005 1.163 1.0 1.84 0.23596
Rb2BeF4 0.6177818783333322 1.63 0.45 1.33 0.344443
Cs2BeF4 0.777900118333335 1.78 0.45 1.33 0.344443
Cr2BeO4 4.822935619999999 0.615 0.45 1.4 0.304575
